CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	MEAN_FST	Significance at p = 0.05
BgChr_1	1575001	1585000	167	0.0105006	0.0099266	NO
BgChr_1	1580001	1590000	157	0.00873038	0.00755965	NO
BgChr_1	1585001	1595000	115	0.00619301	0.0039837	NO
BgChr_1	1590001	1600000	233	0.019654	0.0187488	NO
BgChr_1	1595001	1605000	264	0.0261636	0.0255348	NO
BgChr_1	1600001	1610000	182	0.0230915	0.0223056	NO
BgChr_1	1605001	1615000	202	0.0230288	0.0229603	NO
BgChr_1	1610001	1620000	233	0.024756	0.0248787	NO
BgChr_1	1615001	1625000	293	0.0202567	0.0198473	NO
BgChr_1	1620001	1630000	271	0.0146506	0.0137889	NO
BgChr_1	1625001	1635000	115	0.00704804	0.00571822	NO
BgChr_1	1630001	1640000	145	0.00490478	0.00385588	NO
BgChr_1	1635001	1645000	219	0.0128991	0.0122713	NO
BgChr_1	1640001	1650000	177	0.0239491	0.0242612	NO
BgChr_1	1645001	1655000	131	0.0178555	0.0174789	NO
BgChr_1	1650001	1660000	131	0.0132334	0.0122481	NO
BgChr_1	1655001	1665000	183	0.0207103	0.0201557	NO
BgChr_1	1660001	1670000	227	0.019831	0.0196228	NO
BgChr_1	1665001	1675000	257	0.0159652	0.0157413	NO
BgChr_1	1670001	1680000	203	0.0168123	0.0163787	NO
BgChr_1	1675001	1685000	175	0.0183276	0.0179141	NO
BgChr_1	1680001	1690000	241	0.0186696	0.0180214	NO
BgChr_1	1685001	1695000	262	0.0190904	0.0184609	NO
BgChr_1	1690001	1700000	170	0.0193047	0.0187258	NO
BgChr_1	1695001	1705000	146	0.0221785	0.0219739	NO
BgChr_1	1700001	1710000	191	0.0202793	0.0202304	NO
BgChr_1	1705001	1715000	238	0.0182594	0.0180004	NO
BgChr_1	1710001	1720000	271	0.0179727	0.0178378	NO
BgChr_1	1715001	1725000	222	0.0149741	0.0145203	NO
BgChr_1	1720001	1730000	265	0.0188499	0.0183515	NO
BgChr_1	1725001	1735000	237	0.0193897	0.0187536	NO
BgChr_1	1730001	1740000	155	0.00325758	0.00193583	NO
BgChr_1	1735001	1745000	215	0.00891474	0.00798622	NO
BgChr_1	1740001	1750000	225	0.0146228	0.0142121	NO
BgChr_1	1745001	1755000	210	0.0139939	0.0140172	NO
BgChr_1	1750001	1760000	193	0.0207336	0.0207927	NO
BgChr_1	1755001	1765000	169	0.022494	0.0221193	NO
BgChr_1	1760001	1770000	199	0.0191128	0.0188259	NO
BgChr_1	1765001	1775000	222	0.0147392	0.0142527	NO
BgChr_1	1770001	1780000	145	0.0121144	0.0112424	NO
BgChr_1	1775001	1785000	141	0.0132676	0.0125514	NO
BgChr_1	1780001	1790000	167	0.0146006	0.0141727	NO
BgChr_1	1785001	1795000	110	0.0110412	0.0105365	NO
BgChr_1	1790001	1800000	125	0.0122337	0.0114683	NO
BgChr_1	1795001	1805000	132	0.00480737	0.00372269	NO
BgChr_1	1805001	1815000	176	0.0110015	0.010176	NO
BgChr_1	1810001	1820000	197	0.0157567	0.0149831	NO
BgChr_1	1815001	1825000	118	0.0100422	0.00892106	NO
BgChr_1	1830001	1840000	240	0.00655902	0.00591071	NO
BgChr_1	1835001	1845000	236	0.0287551	0.0278308	NO
BgChr_1	1840001	1850000	234	0.0316057	0.0305005	NO
BgChr_1	1845001	1855000	208	0.00860472	0.00729692	NO
BgChr_1	1850001	1860000	170	0.000520411	-0.000392638	NO
BgChr_1	1855001	1865000	156	0.0367052	0.0349033	NO
BgChr_1	1860001	1870000	143	0.0723645	0.0705781	NO
BgChr_1	1865001	1875000	129	0.0820754	0.0811376	NO
BgChr_1	1870001	1880000	176	0.0544289	0.0534676	NO
BgChr_1	1875001	1885000	217	0.0409035	0.0401819	NO
BgChr_1	1880001	1890000	218	0.0306796	0.029475	NO
BgChr_1	1885001	1895000	188	0.0173949	0.0157652	NO
BgChr_1	1890001	1900000	197	0.0230484	0.0216481	NO
BgChr_1	1895001	1905000	204	0.0364586	0.0355104	NO
BgChr_1	1900001	1910000	145	0.043977	0.0426144	NO
BgChr_1	1905001	1915000	133	0.046641	0.0454488	NO
BgChr_1	1910001	1920000	149	0.03966	0.0393337	NO
BgChr_1	1915001	1925000	164	0.019824	0.0190856	NO
BgChr_1	1920001	1930000	222	0.0117416	0.0108029	NO
BgChr_1	1925001	1935000	181	0.00687967	0.00567933	NO
BgChr_1	1930001	1940000	94	0.000730927	-0.00120997	NO
BgChr_1	1935001	1945000	76	0.023734	0.0219337	NO
BgChr_1	1940001	1950000	180	0.040446	0.039901	NO
BgChr_1	1945001	1955000	201	0.0546129	0.0530353	NO
BgChr_1	1950001	1960000	177	0.0457306	0.0433629	NO
BgChr_1	1955001	1965000	205	0.0268082	0.0259926	NO
BgChr_1	1960001	1970000	174	0.0388599	0.0383466	NO
BgChr_1	1965001	1975000	159	0.0360828	0.0354302	NO
BgChr_1	1970001	1980000	187	0.0135798	0.0122198	NO
BgChr_1	1975001	1985000	176	0.00559426	0.00445958	NO
BgChr_1	1980001	1990000	125	0.00401887	0.00291128	NO
BgChr_1	1985001	1995000	98	0.0131431	0.0116487	NO
BgChr_1	1990001	2000000	127	0.0292369	0.0280312	NO
BgChr_1	1995001	2005000	108	0.0289264	0.027938	NO
BgChr_1	2000001	2010000	97	0.0368981	0.0361259	NO
BgChr_1	2005001	2015000	165	0.0341637	0.0335768	NO
BgChr_1	2010001	2020000	124	0.0377459	0.0367329	NO
BgChr_1	2015001	2025000	100	0.0507111	0.0484151	NO
BgChr_1	2020001	2030000	163	0.0327576	0.0311156	NO
BgChr_1	2025001	2035000	240	0.03294	0.0321599	NO
BgChr_1	2030001	2040000	217	0.0356589	0.0347054	NO
BgChr_1	2035001	2045000	165	0.0324751	0.0314484	NO
BgChr_1	2040001	2050000	202	0.0214453	0.0204686	NO
BgChr_1	2045001	2055000	225	0.024347	0.023485	NO
BgChr_1	2050001	2060000	189	0.0375314	0.037352	NO
BgChr_1	2055001	2065000	151	0.0328658	0.0327299	NO
BgChr_1	2060001	2070000	166	0.0324597	0.0317378	NO
BgChr_1	2065001	2075000	246	0.0323001	0.0313101	NO
BgChr_1	2070001	2080000	257	0.0334642	0.0328209	NO
BgChr_1	2075001	2085000	186	0.0379547	0.0378799	NO
BgChr_1	2080001	2090000	161	0.0407635	0.040681	NO
BgChr_1	2085001	2095000	94	0.0415001	0.0414794	NO
BgChr_1	2090001	2100000	111	0.0398417	0.0392981	NO
BgChr_1	2095001	2105000	218	0.0354172	0.0349037	NO
BgChr_1	2100001	2110000	199	0.0363468	0.0359381	NO
BgChr_1	2105001	2115000	222	0.041815	0.0415837	NO
BgChr_1	2110001	2120000	261	0.03723	0.0365167	NO
BgChr_1	2115001	2125000	238	0.0294349	0.028562	NO
BgChr_1	2120001	2130000	205	0.0311468	0.0305225	NO
BgChr_1	2125001	2135000	188	0.0284765	0.0275031	NO
BgChr_1	2130001	2140000	181	0.0239706	0.0233153	NO
BgChr_1	2135001	2145000	122	0.0309103	0.030534	NO
BgChr_1	2140001	2150000	69	0.0353823	0.034773	NO
BgChr_1	2145001	2155000	125	0.0308782	0.0303332	NO
BgChr_1	2150001	2160000	158	0.0288924	0.0280739	NO
BgChr_1	2155001	2165000	117	0.0321111	0.0309039	NO
BgChr_1	2160001	2170000	133	0.0380523	0.0376531	NO
BgChr_1	2165001	2175000	199	0.0399111	0.0395272	NO
BgChr_1	2170001	2180000	233	0.0414075	0.0409067	NO
BgChr_1	2175001	2185000	146	0.045953	0.0453959	NO
BgChr_1	2180001	2190000	87	0.043371	0.0427616	NO
BgChr_1	2185001	2195000	112	0.0352425	0.0348406	NO
BgChr_1	2190001	2200000	186	0.0303985	0.0296724	NO
BgChr_1	2195001	2205000	206	0.02961	0.0288169	NO
BgChr_1	2200001	2210000	202	0.0357713	0.0349045	NO
BgChr_1	2205001	2215000	242	0.0357367	0.0352054	NO
BgChr_1	2210001	2220000	270	0.0377662	0.0372838	NO
BgChr_1	2215001	2225000	305	0.0384635	0.0376144	NO
BgChr_1	2220001	2230000	242	0.0361714	0.0353645	NO
BgChr_1	2225001	2235000	85	0.0359804	0.0353356	NO
BgChr_1	2230001	2240000	65	0.0356478	0.0355322	NO
BgChr_1	2235001	2245000	158	0.0365875	0.0358969	NO
BgChr_1	2240001	2250000	212	0.0383895	0.0377782	NO
BgChr_1	2245001	2255000	268	0.0395156	0.0391091	NO
BgChr_1	2250001	2260000	258	0.0422919	0.042016	NO
BgChr_1	2255001	2265000	236	0.0391786	0.0391301	NO
BgChr_1	2260001	2270000	260	0.0370848	0.0367876	NO
BgChr_1	2265001	2275000	267	0.046561	0.0461906	NO
BgChr_1	2270001	2280000	257	0.0415913	0.0409713	NO
BgChr_1	2275001	2285000	223	0.027427	0.0263854	NO
BgChr_1	2280001	2290000	218	0.0307502	0.0296583	NO
BgChr_1	2285001	2295000	177	0.0342013	0.0335835	NO
BgChr_1	2290001	2300000	171	0.0315382	0.0309611	NO
BgChr_1	2295001	2305000	213	0.0328376	0.0324256	NO
BgChr_1	2300001	2310000	231	0.036933	0.0367266	NO
BgChr_1	2305001	2315000	296	0.0397891	0.0393528	NO
BgChr_1	2310001	2320000	259	0.0380151	0.0376248	NO
BgChr_1	2315001	2325000	209	0.0258844	0.0253395	NO
BgChr_1	2320001	2330000	171	0.0191527	0.0182754	NO
BgChr_1	2325001	2335000	177	0.0339195	0.033126	NO
BgChr_1	2330001	2340000	162	0.0383375	0.0378469	NO
BgChr_1	2335001	2345000	102	0.0346475	0.0339955	NO
BgChr_1	2340001	2350000	195	0.0318765	0.0310882	NO
BgChr_1	2345001	2355000	229	0.0276915	0.0267369	NO
BgChr_1	2350001	2360000	156	0.0295049	0.0284947	NO
BgChr_1	2355001	2365000	76	0.035799	0.0353935	NO
BgChr_1	2360001	2370000	83	0.0328225	0.0319766	NO
BgChr_1	2365001	2375000	128	0.0316659	0.0310098	NO
BgChr_1	2370001	2380000	142	0.0266852	0.0260339	NO
BgChr_1	2375001	2385000	151	0.0146741	0.0135991	NO
BgChr_1	2380001	2390000	107	0.00374271	0.00258916	NO
BgChr_1	2385001	2395000	70	0.0070897	0.00577491	NO
BgChr_1	2390001	2400000	33	0.01127	0.0102132	NO
BgChr_1	2395001	2405000	56	0.0294124	0.0288987	NO
BgChr_1	2400001	2410000	116	0.0309162	0.0306367	NO
BgChr_1	2405001	2415000	175	0.0312101	0.0304022	NO
BgChr_1	2410001	2420000	115	0.030619	0.0294335	NO
BgChr_1	2420001	2430000	69	0.0248909	0.0240431	NO
BgChr_1	2425001	2435000	168	0.0265062	0.0259279	NO
BgChr_1	2430001	2440000	205	0.0239845	0.0232477	NO
BgChr_1	2435001	2445000	178	0.0248419	0.0238912	NO
BgChr_1	2440001	2450000	179	0.035643	0.0353341	NO
BgChr_1	2445001	2455000	241	0.0382486	0.038204	NO
BgChr_1	2450001	2460000	202	0.0338421	0.0336217	NO
BgChr_1	2455001	2465000	126	0.0342529	0.0336872	NO
BgChr_1	2460001	2470000	109	0.0399809	0.0394561	NO
BgChr_1	2465001	2475000	83	0.0283251	0.0274829	NO
BgChr_1	2470001	2480000	88	0.0283424	0.0276063	NO
BgChr_1	2475001	2485000	90	0.0344937	0.0341416	NO
BgChr_1	2480001	2490000	105	0.0320596	0.0313482	NO
BgChr_1	2485001	2495000	117	0.0272489	0.0262715	NO
BgChr_1	2490001	2500000	166	0.0273464	0.0263374	NO
BgChr_1	2495001	2505000	220	0.0275145	0.0265107	NO
BgChr_1	2500001	2510000	171	0.0287116	0.0279128	NO
BgChr_1	2505001	2515000	161	0.0365408	0.0362681	NO
BgChr_1	2510001	2520000	126	0.0324372	0.0317846	NO
BgChr_1	2515001	2525000	99	0.0249575	0.0242646	NO
BgChr_1	2520001	2530000	144	0.0361486	0.0357502	NO
BgChr_1	2525001	2535000	173	0.0397617	0.0394211	NO
BgChr_1	2530001	2540000	139	0.0387783	0.0383952	NO
BgChr_1	2535001	2545000	129	0.0403179	0.0397434	NO
BgChr_1	2540001	2550000	164	0.0401152	0.0395979	NO
BgChr_1	2545001	2555000	156	0.0409584	0.0405288	NO
BgChr_1	2550001	2560000	146	0.0475351	0.0469893	NO
BgChr_1	2555001	2565000	105	0.0483273	0.0478382	NO
BgChr_1	2560001	2570000	83	0.0451221	0.0453188	NO
BgChr_1	2565001	2575000	114	0.0425316	0.0423251	NO
BgChr_1	2570001	2580000	130	0.0379388	0.0374136	NO
BgChr_1	2575001	2585000	128	0.037883	0.0378903	NO
BgChr_1	2580001	2590000	112	0.0290239	0.0282379	NO
BgChr_1	2585001	2595000	114	0.0225053	0.0212329	NO
BgChr_1	2590001	2600000	101	0.034319	0.0340704	NO
BgChr_1	2595001	2605000	110	0.0371032	0.0361996	NO
BgChr_1	2600001	2610000	121	0.0330072	0.0317449	NO
BgChr_1	2605001	2615000	138	0.0370612	0.0364093	NO
BgChr_1	2610001	2620000	136	0.0338772	0.0335359	NO
BgChr_1	2615001	2625000	121	0.0321524	0.0314535	NO
BgChr_1	2620001	2630000	127	0.0438731	0.0425258	NO
BgChr_1	2625001	2635000	156	0.0652395	0.0634888	NO
BgChr_1	2630001	2640000	207	0.0735881	0.0711735	NO
BgChr_1	2635001	2645000	194	0.0597808	0.0551974	NO
BgChr_1	2640001	2650000	182	0.0575371	0.0542187	NO
BgChr_1	2645001	2655000	216	0.0773725	0.0767323	NO
BgChr_1	2650001	2660000	267	0.082089	0.0815526	NO
BgChr_1	2655001	2665000	287	0.078907	0.0785567	NO
BgChr_1	2660001	2670000	301	0.0690459	0.0684247	NO
BgChr_1	2665001	2675000	285	0.0558882	0.0544547	NO
BgChr_1	2670001	2680000	300	0.0514312	0.0494092	NO
BgChr_1	2675001	2685000	286	0.0511667	0.0490073	NO
BgChr_1	2680001	2690000	295	0.0503255	0.0486204	NO
BgChr_1	2685001	2695000	334	0.0606417	0.0595049	NO
BgChr_1	2690001	2700000	319	0.0676808	0.066515	NO
BgChr_1	2695001	2705000	294	0.0732512	0.0717677	NO
BgChr_1	2700001	2710000	264	0.0753091	0.0745566	NO
BgChr_1	2705001	2715000	153	0.0706196	0.0703258	NO
BgChr_1	2710001	2720000	141	0.0522813	0.0498803	NO
BgChr_1	2715001	2725000	247	0.0530021	0.0506021	NO
BgChr_1	2720001	2730000	299	0.0669234	0.0649219	NO
BgChr_1	2725001	2735000	281	0.0712427	0.06973	NO
BgChr_1	2730001	2740000	198	0.0633139	0.0621588	NO
BgChr_1	2735001	2745000	199	0.0641148	0.0629899	NO
BgChr_1	2740001	2750000	197	0.0730076	0.0725747	NO
BgChr_1	2745001	2755000	185	0.0732377	0.0728972	NO
BgChr_1	2750001	2760000	195	0.0571161	0.0558247	NO
BgChr_1	2755001	2765000	274	0.0673493	0.0656722	NO
BgChr_1	2760001	2770000	238	0.0838121	0.0821297	NO
BgChr_1	2765001	2775000	188	0.0984306	0.096173	NO
BgChr_1	2770001	2780000	225	0.106966	0.105011	NO
BgChr_1	2775001	2785000	215	0.113222	0.112291	NO
BgChr_1	2780001	2790000	273	0.115	0.11301	NO
BgChr_1	2785001	2795000	301	0.114987	0.113086	NO
BgChr_1	2790001	2800000	324	0.106012	0.104605	NO
BgChr_1	2795001	2805000	321	0.100149	0.0974958	NO
BgChr_1	2800001	2810000	257	0.0956497	0.0921491	NO
BgChr_1	2805001	2815000	198	0.0880341	0.0849103	NO
BgChr_1	2810001	2820000	207	0.100724	0.0981887	NO
BgChr_1	2815001	2825000	263	0.102782	0.101146	NO
BgChr_1	2820001	2830000	305	0.0993583	0.0978877	NO
BgChr_1	2825001	2835000	281	0.103005	0.102099	NO
BgChr_1	2830001	2840000	263	0.0983296	0.0966034	NO
BgChr_1	2835001	2845000	253	0.0964	0.0940823	NO
BgChr_1	2840001	2850000	272	0.104584	0.10336	NO
BgChr_1	2845001	2855000	314	0.11001	0.109368	NO
BgChr_1	2850001	2860000	180	0.109643	0.108555	NO
BgChr_1	2855001	2865000	172	0.104596	0.102356	NO
BgChr_1	2860001	2870000	220	0.111863	0.110279	NO
BgChr_1	2865001	2875000	210	0.108698	0.106333	NO
BgChr_1	2870001	2880000	207	0.0971377	0.0946938	NO
BgChr_1	2875001	2885000	179	0.0950574	0.091949	NO
BgChr_1	2880001	2890000	226	0.105387	0.102462	NO
BgChr_1	2885001	2895000	262	0.112902	0.11137	NO
BgChr_1	2890001	2900000	273	0.103327	0.101984	NO
BgChr_1	2895001	2905000	271	0.0956612	0.093853	NO
BgChr_1	2900001	2910000	261	0.0974736	0.094351	NO
BgChr_1	2905001	2915000	154	0.0955826	0.0918565	NO
BgChr_1	2910001	2920000	39	0.0890584	0.0866731	NO
BgChr_1	2915001	2925000	138	0.110183	0.109321	NO
BgChr_1	2920001	2930000	213	0.107437	0.106191	NO
BgChr_1	2925001	2935000	199	0.11013	0.108646	NO
BgChr_1	2930001	2940000	291	0.109987	0.109358	NO
BgChr_1	2935001	2945000	283	0.103997	0.103243	NO
BgChr_1	2940001	2950000	230	0.103416	0.101761	NO
BgChr_1	2945001	2955000	256	0.113719	0.112626	NO
BgChr_1	2950001	2960000	263	0.120014	0.119287	NO
BgChr_1	2955001	2965000	231	0.11435	0.113078	NO
BgChr_1	2960001	2970000	138	0.109468	0.108195	NO
BgChr_1	2965001	2975000	150	0.113764	0.113143	NO
BgChr_1	2970001	2980000	186	0.10108	0.100174	NO
BgChr_1	2975001	2985000	162	0.0775786	0.0753322	NO
BgChr_1	2980001	2990000	95	0.0825424	0.0786678	NO
BgChr_1	2985001	2995000	120	0.111361	0.109293	NO
BgChr_1	2990001	3000000	254	0.135235	0.131516	NO
BgChr_1	2995001	3005000	360	0.127906	0.12498	NO
BgChr_1	3000001	3010000	262	0.102315	0.100352	NO
BgChr_1	3005001	3015000	171	0.103828	0.101554	NO
BgChr_1	3010001	3020000	222	0.118787	0.117342	NO
BgChr_1	3015001	3025000	156	0.114393	0.113287	NO
BgChr_1	3020001	3030000	161	0.087599	0.0860981	NO
BgChr_1	3025001	3035000	199	0.0898743	0.0876869	NO
BgChr_1	3030001	3040000	213	0.114733	0.113306	NO
BgChr_1	3035001	3045000	133	0.12316	0.123012	NO
BgChr_1	3040001	3050000	75	0.0955771	0.0920215	NO
BgChr_1	3045001	3055000	200	0.0958054	0.093199	NO
BgChr_1	3050001	3060000	226	0.0982646	0.0963461	NO
BgChr_1	3055001	3065000	190	0.104973	0.103149	NO
BgChr_1	3060001	3070000	194	0.101829	0.100124	NO
BgChr_1	3065001	3075000	210	0.0929836	0.0908401	NO
BgChr_1	3070001	3080000	232	0.101652	0.099532	NO
BgChr_1	3075001	3085000	279	0.099339	0.0970761	NO
BgChr_1	3080001	3090000	286	0.0985561	0.0965456	NO
BgChr_1	3085001	3095000	240	0.110938	0.110115	NO
BgChr_1	3090001	3100000	228	0.109993	0.10874	NO
BgChr_1	3095001	3105000	195	0.109742	0.10842	NO
BgChr_1	3100001	3110000	166	0.108118	0.107138	NO
BgChr_1	3105001	3115000	144	0.097539	0.0953072	NO
BgChr_1	3110001	3120000	198	0.0926665	0.0900346	NO
BgChr_1	3115001	3125000	198	0.0895276	0.0871918	NO
BgChr_1	3120001	3130000	162	0.0975511	0.0960577	NO
BgChr_1	3125001	3135000	170	0.109593	0.107452	NO
BgChr_1	3130001	3140000	201	0.0949286	0.0918021	NO
BgChr_1	3135001	3145000	268	0.103407	0.10165	NO
BgChr_1	3140001	3150000	250	0.116869	0.115876	NO
BgChr_1	3145001	3155000	186	0.11178	0.110039	NO
BgChr_1	3150001	3160000	235	0.108862	0.107818	NO
BgChr_1	3155001	3165000	194	0.107975	0.107075	NO
BgChr_1	3160001	3170000	174	0.109199	0.108046	NO
BgChr_1	3165001	3175000	268	0.112174	0.111346	NO
BgChr_1	3170001	3180000	238	0.115483	0.114651	NO
BgChr_1	3175001	3185000	201	0.10939	0.108013	NO
BgChr_1	3180001	3190000	210	0.100506	0.0993677	NO
BgChr_1	3185001	3195000	129	0.100921	0.100283	NO
BgChr_1	3190001	3200000	107	0.109854	0.107732	NO
BgChr_1	3195001	3205000	227	0.10788	0.106187	NO
BgChr_1	3200001	3210000	263	0.0997006	0.0981209	NO
BgChr_1	3205001	3215000	195	0.0910037	0.0884833	NO
BgChr_1	3210001	3220000	131	0.102964	0.100367	NO
BgChr_1	3215001	3225000	172	0.108021	0.106439	NO
BgChr_1	3220001	3230000	261	0.103253	0.101238	NO
BgChr_1	3225001	3235000	269	0.0992706	0.0969218	NO
BgChr_1	3230001	3240000	216	0.0944853	0.091698	NO
BgChr_1	3235001	3245000	147	0.0983668	0.096087	NO
BgChr_1	3240001	3250000	146	0.0932689	0.0917602	NO
BgChr_1	3245001	3255000	215	0.0774253	0.0750086	NO
BgChr_1	3250001	3260000	165	0.0831768	0.0800165	NO
BgChr_1	3255001	3265000	146	0.113853	0.109505	NO
BgChr_1	3260001	3270000	221	0.124895	0.121561	NO
BgChr_1	3265001	3275000	191	0.122992	0.121162	NO
BgChr_1	3270001	3280000	115	0.0855176	0.0836179	NO
BgChr_1	3275001	3285000	123	0.100997	0.0991342	NO
BgChr_1	3280001	3290000	173	0.11704	0.116298	NO
BgChr_1	3285001	3295000	218	0.110017	0.108737	NO
BgChr_1	3290001	3300000	202	0.11908	0.116854	NO
BgChr_1	3295001	3305000	153	0.123343	0.120552	NO
BgChr_1	3300001	3310000	122	0.14839	0.143213	NO
BgChr_1	3305001	3315000	110	0.140497	0.134251	NO
BgChr_1	3310001	3320000	84	0.0869638	0.0836697	NO
BgChr_1	3315001	3325000	66	0.0946567	0.0900133	NO
BgChr_1	3320001	3330000	120	0.196156	0.186913	NO
BgChr_1	3325001	3335000	146	0.165055	0.153124	NO
BgChr_1	3330001	3340000	152	0.0707029	0.0683045	NO
BgChr_1	3335001	3345000	186	0.0933489	0.0919428	NO
BgChr_1	3340001	3350000	217	0.117114	0.1148	NO
BgChr_1	3345001	3355000	148	0.136565	0.133595	NO
