WindowID	Chr	Start	End	First_Gene	Last_Gene	N_Genes	N_genes_TMHMM	N_Genes_Single_TMHMM	Per_genes_TMHMM	Per_Genes_Single_TMHMM	Warning_Truncated_Window	Annot_source
91	CM074202.1	45000001	47000000	BgiMline_001925	BgiMline_002019	89	16	3	18%	3.4%	.	iM_Zhong
92	CM074202.1	45500001	47500000	BgiMline_001953	BgiMline_002036	80	17	3	21.2%	3.7%	.	iM_Zhong
93	CM074202.1	46000001	48000000	BgiMline_001975	BgiMline_002065	87	23	6	26.4%	6.9%	.	iM_Zhong
94	CM074202.1	46500001	48500000	BgiMline_001997	BgiMline_002083	82	23	7	28%	8.5%	.	iM_Zhong
95	CM074202.1	47000001	49000000	BgiMline_002020	BgiMline_002100	78	18	7	23.1%	9%	.	iM_Zhong
96	CM074202.1	47500001	49500000	BgiMline_002036	BgiMline_002116	76	16	7	21.1%	9.2%	.	iM_Zhong
97	CM074202.1	48000001	50000000	BgiMline_002065	BgiMline_002136	66	13	7	19.7%	10.6%	.	iM_Zhong
98	CM074202.1	48500001	50500000	BgiMline_002084	BgiMline_002151	64	10	5	15.6%	7.8%	.	iM_Zhong
99	CM074202.1	49000001	51000000	BgiMline_002101	BgiMline_002163	60	8	4	13.3%	6.7%	.	iM_Zhong
100	CM074202.1	49500001	51500000	BgiMline_002117	BgiMline_002192	73	9	6	12.3%	8.2%	.	iM_Zhong
101	CM074202.1	50000001	52000000	BgiMline_002137	BgiMline_002218	79	9	4	11.4%	5.1%	.	iM_Zhong
102	CM074202.1	50500001	52500000	BgiMline_002152	BgiMline_002244	88	10	5	11.4%	5.7%	.	iM_Zhong
103	CM074202.1	51000001	53000000	BgiMline_002164	BgiMline_002259	91	11	5	12.1%	5.5%	.	iM_Zhong
104	CM074202.1	51500001	53500000	BgiMline_002192	BgiMline_002286	91	12	6	13.2%	6.6%	.	iM_Zhong
105	CM074202.1	52000001	54000000	BgiMline_002219	BgiMline_002310	86	16	7	18.6%	8.1%	.	iM_Zhong
106	CM074202.1	52500001	54500000	BgiMline_002244	BgiMline_002319	71	15	7	21.1%	9.9%	.	iM_Zhong
107	CM074202.1	53000001	55000000	BgiMline_002261	BgiMline_002350	84	15	8	17.9%	9.5%	.	iM_Zhong
108	CM074202.1	53500001	55500000	BgiMline_002288	BgiMline_002372	80	16	5	20%	6.2%	.	iM_Zhong
109	CM074202.1	54000001	56000000	BgiMline_002311	BgiMline_002388	75	13	4	17.3%	5.3%	.	iM_Zhong
110	CM074202.1	54500001	56500000	BgiMline_002320	BgiMline_002404	79	13	4	16.5%	5.1%	.	iM_Zhong
111	CM074202.1	55000001	57000000	BgiMline_002350	BgiMline_002423	69	15	4	21.7%	5.8%	.	iM_Zhong
112	CM074202.1	55500001	57500000	BgiMline_002372	BgiMline_002451	69	14	3	20.3%	4.3%	.	iM_Zhong
113	CM074202.1	56000001	58000000	BgiMline_002389	BgiMline_002467	68	14	3	20.6%	4.4%	.	iM_Zhong
114	CM074202.1	56500001	58500000	BgiMline_002405	BgiMline_002484	72	13	3	18.1%	4.2%	.	iM_Zhong
115	CM074202.1	57000001	59000000	BgiMline_002428	BgiMline_002503	70	12	2	17.1%	2.9%	.	iM_Zhong
116	CM074202.1	57500001	59500000	BgiMline_002451	BgiMline_002526	72	16	3	22.2%	4.2%	.	iM_Zhong
117	CM074202.1	58000001	60000000	BgiMline_002467	BgiMline_002546	76	15	4	19.7%	5.3%	.	iM_Zhong
118	CM074202.1	58500001	60500000	BgiMline_002485	BgiMline_002570	82	17	3	20.7%	3.7%	.	iM_Zhong
119	CM074202.1	59000001	61000000	BgiMline_002504	BgiMline_002584	80	19	4	23.7%	5%	.	iM_Zhong
120	CM074202.1	59500001	61500000	BgiMline_002527	BgiMline_002601	73	18	5	24.7%	6.8%	.	iM_Zhong
121	CM074202.1	60000001	62000000	BgiMline_002547	BgiMline_002616	67	18	6	26.9%	9%	.	iM_Zhong
122	CM074202.1	60500001	62500000	BgiMline_002571	BgiMline_002629	56	17	7	30.4%	12.5%	.	iM_Zhong
123	CM074202.1	61000001	63000000	BgiMline_002585	BgiMline_002648	61	18	10	29.5%	16.4%	.	iM_Zhong
124	CM074202.1	61500001	63500000	BgiMline_002602	BgiMline_002671	67	16	10	23.9%	14.9%	.	iM_Zhong
125	CM074202.1	62000001	64000000	BgiMline_002616	BgiMline_002678	60	13	8	21.7%	13.3%	.	iM_Zhong
126	CM074202.1	62500001	64500000	BgiMline_002630	BgiMline_002690	58	15	8	25.9%	13.8%	.	iM_Zhong
127	CM074202.1	63000001	65000000	BgiMline_002650	BgiMline_002711	58	13	4	22.4%	6.9%	.	iM_Zhong
128	CM074202.1	63500001	65500000	BgiMline_002672	BgiMline_002739	62	12	3	19.4%	4.8%	.	iM_Zhong
129	CM074202.1	64000001	66000000	BgiMline_002679	BgiMline_002759	75	12	3	16%	4%	.	iM_Zhong
130	CM074202.1	64500001	66500000	BgiMline_002690	BgiMline_002779	85	15	5	17.6%	5.9%	.	iM_Zhong
131	CM074202.1	65000001	67000000	BgiMline_002712	BgiMline_002802	87	13	5	14.9%	5.7%	.	iM_Zhong
132	CM074202.1	65500001	67500000	BgiMline_002740	BgiMline_002836	89	12	7	13.5%	7.9%	.	iM_Zhong
133	CM074202.1	66000001	68000000	BgiMline_002759	BgiMline_002860	95	14	9	14.7%	9.5%	.	iM_Zhong
134	CM074202.1	66500001	68500000	BgiMline_002780	BgiMline_002881	95	11	8	11.6%	8.4%	.	iM_Zhong
135	CM074202.1	67000001	69000000	BgiMline_002803	BgiMline_002913	103	13	9	12.6%	8.7%	.	iM_Zhong
136	CM074202.1	67500001	69500000	BgiMline_002837	BgiMline_002937	98	12	7	12.2%	7.1%	.	iM_Zhong
137	CM074202.1	68000001	70000000	BgiMline_002861	BgiMline_002968	103	18	12	17.5%	11.7%	.	iM_Zhong
138	CM074202.1	68500001	70500000	BgiMline_002882	BgiMline_002994	107	22	14	20.6%	13.1%	.	iM_Zhong
139	CM074202.1	69000001	71000000	BgiMline_002913	BgiMline_003013	96	21	15	21.9%	15.6%	.	iM_Zhong
140	CM074202.1	69500001	71500000	BgiMline_002939	BgiMline_003029	88	21	15	23.9%	17%	.	iM_Zhong
141	CM074202.1	70000001	72000000	BgiMline_002969	BgiMline_003042	72	15	7	20.8%	9.7%	.	iM_Zhong
142	CM074202.1	70500001	72500000	BgiMline_002995	BgiMline_003061	65	12	4	18.5%	6.2%	.	iM_Zhong
143	CM074202.1	71000001	73000000	BgiMline_003014	BgiMline_003085	69	11	3	15.9%	4.3%	.	iM_Zhong
144	CM074202.1	71500001	73500000	BgiMline_003029	BgiMline_003106	75	12	2	16%	2.7%	.	iM_Zhong
145	CM074202.1	72000001	74000000	BgiMline_003043	BgiMline_003131	86	14	7	16.3%	8.1%	.	iM_Zhong
146	CM074202.1	72500001	74500000	BgiMline_003062	BgiMline_003154	90	13	7	14.4%	7.8%	.	iM_Zhong
147	CM074202.1	73000001	75000000	BgiMline_003086	BgiMline_003176	90	16	10	17.8%	11.1%	.	iM_Zhong
148	CM074202.1	73500001	75500000	BgiMline_003106	BgiMline_003204	97	20	11	20.6%	11.3%	.	iM_Zhong
149	CM074202.1	74000001	76000000	BgiMline_003131	BgiMline_003229	95	24	11	25.3%	11.6%	.	iM_Zhong
150	CM074202.1	74500001	76500000	BgiMline_003154	BgiMline_003250	93	28	15	30.1%	16.1%	.	iM_Zhong
151	CM074202.1	75000001	77000000	BgiMline_003177	BgiMline_003263	82	27	12	32.9%	14.6%	.	iM_Zhong
152	CM074202.1	75500001	77500000	BgiMline_003205	BgiMline_003286	77	20	10	26%	13%	.	iM_Zhong
153	CM074202.1	76000001	78000000	BgiMline_003230	BgiMline_003312	79	14	7	17.7%	8.9%	.	iM_Zhong
154	CM074202.1	76500001	78500000	BgiMline_003251	BgiMline_003337	84	10	5	11.9%	6%	.	iM_Zhong
155	CM074202.1	77000001	79000000	BgiMline_003264	BgiMline_003373	101	10	7	9.9%	6.9%	.	iM_Zhong
156	CM074202.1	77500001	79500000	BgiMline_003287	BgiMline_003398	104	15	9	14.4%	8.7%	.	iM_Zhong
157	CM074202.1	78000001	80000000	BgiMline_003313	BgiMline_003413	94	14	7	14.9%	7.4%	.	iM_Zhong
158	CM074202.1	78500001	80500000	BgiMline_003338	BgiMline_003444	98	15	5	15.3%	5.1%	.	iM_Zhong
159	CM074202.1	79000001	81000000	BgiMline_003374	BgiMline_003465	89	22	4	24.7%	4.5%	.	iM_Zhong
160	CM074202.1	79500001	81500000	BgiMline_003398	BgiMline_003490	89	21	5	23.6%	5.6%	.	iM_Zhong
161	CM074202.1	80000001	82000000	BgiMline_003414	BgiMline_003513	91	20	5	22%	5.5%	.	iM_Zhong
162	CM074202.1	80500001	82500000	BgiMline_003445	BgiMline_003538	87	18	6	20.7%	6.9%	.	iM_Zhong
163	CM074202.1	81000001	83000000	BgiMline_003466	BgiMline_003567	95	9	6	9.5%	6.3%	.	iM_Zhong
164	CM074202.1	81500001	83500000	BgiMline_003492	BgiMline_003598	101	13	4	12.9%	4%	.	iM_Zhong
165	CM074202.1	82000001	84000000	BgiMline_003514	BgiMline_003611	96	16	6	16.7%	6.2%	.	iM_Zhong
166	CM074202.1	82500001	84500000	BgiMline_003539	BgiMline_003634	93	21	8	22.6%	8.6%	.	iM_Zhong
167	CM074202.1	83000001	85000000	BgiMline_003567	BgiMline_003651	77	19	6	24.7%	7.8%	.	iM_Zhong
168	CM074202.1	83500001	85500000	BgiMline_003598	BgiMline_003676	72	11	5	15.3%	6.9%	.	iM_Zhong
169	CM074202.1	84000001	86000000	BgiMline_003612	BgiMline_003702	79	10	3	12.7%	3.8%	.	iM_Zhong
170	CM074202.1	84500001	86500000	BgiMline_003635	BgiMline_003732	86	8	3	9.3%	3.5%	.	iM_Zhong
171	CM074202.1	85000001	87000000	BgiMline_003652	BgiMline_003753	95	10	5	10.5%	5.3%	.	iM_Zhong
172	CM074202.1	85500001	87500000	BgiMline_003678	BgiMline_003781	97	13	7	13.4%	7.2%	.	iM_Zhong
173	CM074202.1	86000001	88000000	BgiMline_003702	BgiMline_003803	98	18	8	18.4%	8.2%	.	iM_Zhong
174	CM074202.1	86500001	88500000	BgiMline_003733	BgiMline_003834	96	18	7	18.8%	7.3%	.	iM_Zhong
175	CM074202.1	87000001	89000000	BgiMline_003753	BgiMline_003854	95	19	7	20%	7.4%	.	iM_Zhong
176	CM074202.1	87500001	89500000	BgiMline_003783	BgiMline_003879	89	18	7	20.2%	7.9%	.	iM_Zhong
177	CM074202.1	88000001	90000000	BgiMline_003803	BgiMline_003896	85	16	7	18.8%	8.2%	.	iM_Zhong
178	CM074202.1	88500001	90500000	BgiMline_003834	BgiMline_003913	74	12	5	16.2%	6.8%	X	iM_Zhong
179	CM074203.1	1	2000000	BgiMline_003914	BgiMline_004000	84	11	7	13.1%	8.3%	.	iM_Zhong
180	CM074203.1	500001	2500000	BgiMline_003927	BgiMline_004026	97	13	8	13.4%	8.2%	.	iM_Zhong
181	CM074203.1	1000001	3000000	BgiMline_003958	BgiMline_004052	93	19	8	20.4%	8.6%	.	iM_Zhong
182	CM074203.1	1500001	3500000	BgiMline_003975	BgiMline_004074	99	20	10	20.2%	10.1%	.	iM_Zhong
183	CM074203.1	2000001	4000000	BgiMline_004000	BgiMline_004104	104	21	10	20.2%	9.6%	.	iM_Zhong
184	CM074203.1	2500001	4500000	BgiMline_004026	BgiMline_004123	98	19	7	19.4%	7.1%	.	iM_Zhong
185	CM074203.1	3000001	5000000	BgiMline_004053	BgiMline_004142	86	18	7	20.9%	8.1%	.	iM_Zhong
186	CM074203.1	3500001	5500000	BgiMline_004075	BgiMline_004159	80	16	4	20%	5%	.	iM_Zhong
187	CM074203.1	4000001	6000000	BgiMline_004105	BgiMline_004183	70	14	2	20%	2.9%	.	iM_Zhong
188	CM074203.1	4500001	6500000	BgiMline_004126	BgiMline_004217	84	34	2	40.5%	2.4%	.	iM_Zhong
189	CM074203.1	5000001	7000000	BgiMline_004142	BgiMline_004243	94	32	2	34%	2.1%	.	iM_Zhong
190	CM074203.1	5500001	7500000	BgiMline_004160	BgiMline_004268	102	34	2	33.3%	2%	.	iM_Zhong
191	CM074203.1	6000001	8000000	BgiMline_004183	BgiMline_004288	101	34	2	33.7%	2%	.	iM_Zhong
192	CM074203.1	6500001	8500000	BgiMline_004218	BgiMline_004306	85	16	3	18.8%	3.5%	.	iM_Zhong
193	CM074203.1	7000001	9000000	BgiMline_004244	BgiMline_004316	70	13	2	18.6%	2.9%	.	iM_Zhong
194	CM074203.1	7500001	9500000	BgiMline_004269	BgiMline_004342	71	12	2	16.9%	2.8%	.	iM_Zhong
195	CM074203.1	8000001	10000000	BgiMline_004289	BgiMline_004363	72	15	2	20.8%	2.8%	.	iM_Zhong
196	CM074203.1	8500001	10500000	BgiMline_004307	BgiMline_004377	68	14	1	20.6%	1.5%	.	iM_Zhong
197	CM074203.1	9000001	11000000	BgiMline_004317	BgiMline_004403	83	17	6	20.5%	7.2%	.	iM_Zhong
198	CM074203.1	9500001	11500000	BgiMline_004342	BgiMline_004431	84	18	7	21.4%	8.3%	.	iM_Zhong
199	CM074203.1	10000001	12000000	BgiMline_004364	BgiMline_004452	83	15	8	18.1%	9.6%	.	iM_Zhong
200	CM074203.1	10500001	12500000	BgiMline_004377	BgiMline_004474	92	12	8	13%	8.7%	.	iM_Zhong
201	CM074203.1	11000001	13000000	BgiMline_004404	BgiMline_004498	91	9	4	9.9%	4.4%	.	iM_Zhong
202	CM074203.1	11500001	13500000	BgiMline_004431	BgiMline_004513	80	10	4	12.5%	5%	.	iM_Zhong
203	CM074203.1	12000001	14000000	BgiMline_004452	BgiMline_004532	80	12	6	15%	7.5%	.	iM_Zhong
204	CM074203.1	12500001	14500000	BgiMline_004474	BgiMline_004551	77	17	7	22.1%	9.1%	.	iM_Zhong
205	CM074203.1	13000001	15000000	BgiMline_004500	BgiMline_004575	73	19	8	26%	11%	.	iM_Zhong
206	CM074203.1	13500001	15500000	BgiMline_004514	BgiMline_004593	76	20	7	26.3%	9.2%	.	iM_Zhong
207	CM074203.1	14000001	16000000	BgiMline_004533	BgiMline_004605	69	14	3	20.3%	4.3%	.	iM_Zhong
208	CM074203.1	14500001	16500000	BgiMline_004552	BgiMline_004620	63	12	2	19%	3.2%	.	iM_Zhong
209	CM074203.1	15000001	17000000	BgiMline_004576	BgiMline_004634	56	9	1	16.1%	1.8%	.	iM_Zhong
210	CM074203.1	15500001	17500000	BgiMline_004594	BgiMline_004654	56	9	1	16.1%	1.8%	.	iM_Zhong
211	CM074203.1	16000001	18000000	BgiMline_004607	BgiMline_004675	64	12	5	18.8%	7.8%	.	iM_Zhong
212	CM074203.1	16500001	18500000	BgiMline_004621	BgiMline_004698	70	11	6	15.7%	8.6%	.	iM_Zhong
213	CM074203.1	17000001	19000000	BgiMline_004634	BgiMline_004715	73	12	6	16.4%	8.2%	.	iM_Zhong
214	CM074203.1	17500001	19500000	BgiMline_004655	BgiMline_004737	75	13	8	17.3%	10.7%	.	iM_Zhong
215	CM074203.1	18000001	20000000	BgiMline_004676	BgiMline_004755	73	11	4	15.1%	5.5%	.	iM_Zhong
216	CM074203.1	18500001	20500000	BgiMline_004699	BgiMline_004778	74	11	3	14.9%	4.1%	.	iM_Zhong
217	CM074203.1	19000001	21000000	BgiMline_004716	BgiMline_004801	80	13	3	16.3%	3.7%	.	iM_Zhong
218	CM074203.1	19500001	21500000	BgiMline_004738	BgiMline_004821	79	11	1	13.9%	1.3%	.	iM_Zhong
219	CM074203.1	20000001	22000000	BgiMline_004756	BgiMline_004841	81	12	3	14.8%	3.7%	.	iM_Zhong
220	CM074203.1	20500001	22500000	BgiMline_004779	BgiMline_004863	82	14	4	17.1%	4.9%	.	iM_Zhong
221	CM074203.1	21000001	23000000	BgiMline_004802	BgiMline_004884	78	16	4	20.5%	5.1%	.	iM_Zhong
222	CM074203.1	21500001	23500000	BgiMline_004821	BgiMline_004900	74	16	5	21.6%	6.8%	.	iM_Zhong
223	CM074203.1	22000001	24000000	BgiMline_004841	BgiMline_004919	72	19	8	26.4%	11.1%	.	iM_Zhong
224	CM074203.1	22500001	24500000	BgiMline_004863	BgiMline_004945	76	22	11	28.9%	14.5%	.	iM_Zhong
225	CM074203.1	23000001	25000000	BgiMline_004884	BgiMline_004966	77	25	12	32.5%	15.6%	.	iM_Zhong
226	CM074203.1	23500001	25500000	BgiMline_004900	BgiMline_004988	85	25	10	29.4%	11.8%	.	iM_Zhong
227	CM074203.1	24000001	26000000	BgiMline_004919	BgiMline_005009	88	19	5	21.6%	5.7%	.	iM_Zhong
