
LOC106050105	XP_013064065.2
LOC106050189	XP_055862683.1
LOC106050189	XP_055862684.1
LOC106050190	XP_055893687.1
LOC106050190	XP_055893688.1
LOC106050191	XP_055895311.1
LOC106050192	XP_055870296.1
LOC106050192	XP_055870297.1
LOC106050192	XP_055870298.1
LOC106050193	XP_055895728.1
LOC106050193	XP_055895729.1
LOC106050195	XP_013060597.2
LOC106050197	XP_013060598.2
LOC106050197	XP_055874869.1
LOC106050198	XP_055863018.1
LOC106050198	XP_055863019.1
LOC106050198	XP_055863020.1
LOC106050198	XP_055863021.1
LOC106050198	XP_055863022.1
LOC106050200	XP_055877075.1
LOC106050201	XP_055869727.1
LOC106050201	XP_055869728.1
LOC106050201	XP_055869729.1
LOC106050201	XP_055869730.1
LOC106050201	XP_055869731.1
LOC106050201	XP_055869732.1
LOC106050201	XP_055869733.1
LOC106050201	XP_055869735.1
LOC106050201	XP_055869736.1
LOC106050201	XP_055869737.1
LOC106050204	XP_055870983.1
LOC106050204	XP_055870984.1
LOC106050206	XP_013060610.2
LOC106050207	XP_055881321.1
LOC106050207	XP_055881322.1
LOC106050207	XP_055881323.1
LOC106050207	XP_055881324.1
LOC106050207	XP_055881325.1
LOC106050208	XP_055879057.1
LOC106050208	XP_055879058.1
LOC106050208	XP_055879059.1
LOC106050208	XP_055879060.1
LOC106050208	XP_055879061.1
LOC106050208	XP_055879062.1
LOC106050208	XP_055879063.1
LOC106050208	XP_055879064.1
LOC106050208	XP_055879065.1
LOC106050208	XP_055879066.1
LOC106050208	XP_055879067.1
LOC106050208	XP_055879068.1
LOC106050208	XP_055879069.1
LOC106050208	XP_055879070.1
LOC106050208	XP_055879072.1
LOC106050208	XP_055879073.1
LOC106050208	XP_055879074.1
LOC106050208	XP_055879075.1
LOC106050208	XP_055879076.1
LOC106050208	XP_055879077.1
LOC106050212	XP_055885292.1
LOC106050212	XP_055885293.1
LOC106050213	XP_055885290.1
LOC106050213	XP_055885291.1
LOC106050215	XP_055869392.1
LOC106050216	XP_013060620.2
LOC106050216	XP_055869405.1
LOC106050216	XP_055869406.1
LOC106050217	XP_055870230.1
LOC106050217	XP_055870232.1
LOC106050220	XP_055861089.1
LOC106050221	XP_055872730.1
LOC106050221	XP_055872731.1
LOC106050222	XP_055888551.1
LOC106050225	XP_055889870.1
LOC106050225	XP_055889871.1
LOC106050225	XP_055889872.1
LOC106050225	XP_055889873.1
LOC106050226	XP_055887855.1
LOC106050226	XP_055887856.1
LOC106050226	XP_055887857.1
LOC106050228	XP_013060638.2
LOC106050231	XP_055891917.1
LOC106050236	XP_055869908.1
LOC106050236	XP_055869909.1
LOC106050236	XP_055869910.1
LOC106050236	XP_055869911.1
LOC106050240	XP_055901327.1
LOC106050241	XP_055867399.1
LOC106050244	XP_055896947.1
LOC106050244	XP_055896948.1
LOC106050245	XP_055897511.1
LOC106050245	XP_055897512.1
LOC106050245	XP_055897513.1
LOC106050245	XP_055897515.1
LOC106050245	XP_055897516.1
LOC106050245	XP_055897517.1
LOC106050249	XP_055897581.1
LOC106050252	XP_013060657.2
LOC106050253	XP_055870819.1
LOC106050253	XP_055870820.1
LOC106050253	XP_055870821.1
LOC106050254	XP_055885672.1
LOC106050254	XP_055885673.1
LOC106050254	XP_055885674.1
LOC106050254	XP_055885675.1
LOC106050254	XP_055885676.1
LOC106050255	XP_055896837.1
LOC106050255	XP_055896838.1
LOC106050255	XP_055896839.1
LOC106050255	XP_055896840.1
LOC106050260	XP_055894928.1
LOC106050261	XP_055875636.1
LOC106050262	XP_055875639.1
LOC106050264	XP_055900349.1
LOC106050266	XP_055862661.1
LOC106050267	XP_055867156.1
LOC106050268	XP_055879653.1
LOC106050270	XP_055887325.1
LOC106050271	XP_013060680.2
LOC106050277	XP_055894099.1
LOC106050277	XP_055894100.1
LOC106050277	XP_055894101.1
LOC106050278	XP_055876698.1
LOC106050278	XP_055876699.1
LOC106050278	XP_055876700.1
LOC106050278	XP_055876701.1
LOC106050281	XP_013060685.2
LOC106050282	XP_013060686.2
LOC106050282	XP_013060687.2
LOC106050282	XP_013060688.2
LOC106050283	XP_055892364.1
LOC106050283	XP_055892365.1
LOC106050284	XP_055892764.1
LOC106050284	XP_055892765.1
LOC106050284	XP_055892766.1
LOC106050284	XP_055892767.1
LOC106050287	XP_055870966.1
LOC106050287	XP_055870968.1
LOC106050287	XP_055870969.1
LOC106050290	XP_055860323.1
LOC106050290	XP_055860324.1
LOC106050290	XP_055860325.1
LOC106050290	XP_055860326.1
LOC106050290	XP_055860327.1
LOC106050290	XP_055860328.1
LOC106050290	XP_055860329.1
LOC106050290	XP_055860330.1
LOC106050290	XP_055860331.1
LOC106050290	XP_055860332.1
LOC106050291	XP_055892366.1
LOC106050293	XP_013060704.2
LOC106050294	XP_013060705.1
LOC106050296	XP_055881630.1
LOC106050297	XP_055877074.1
LOC106050303	XP_055893014.1
LOC106050303	XP_055893015.1
LOC106050303	XP_055893016.1
LOC106050304	XP_013060714.2
LOC106050305	XP_013060715.1
LOC106050306	XP_055878006.1
LOC106050306	XP_055878007.1
LOC106050308	XP_055898753.1
LOC106050308	XP_055898754.1
LOC106050308	XP_055898755.1
LOC106050308	XP_055898756.1
LOC106050309	XP_055862594.1
LOC106050310	XP_055860536.1
LOC106050310	XP_055860544.1
LOC106050310	XP_055860548.1
LOC106050310	XP_055860556.1
LOC106050310	XP_055860564.1
LOC106050310	XP_055860569.1
LOC106050311	XP_013060724.2
LOC106050313	XP_055865520.1
LOC106050313	XP_055865521.1
LOC106050313	XP_055865522.1
LOC106050313	XP_055865523.1
LOC106050313	XP_055865524.1
LOC106050313	XP_055865525.1
LOC106050315	XP_055893244.1
LOC106050317	XP_055892459.1
LOC106050319	XP_055874785.1
LOC106050320	XP_055874788.1
LOC106050321	XP_013060733.2
LOC106050322	XP_013060731.2
LOC106050323	XP_055874786.1
LOC106050326	XP_055874787.1
LOC106050327	XP_055899658.1
LOC106050327	XP_055899659.1
LOC106050328	XP_055884561.1
LOC106050329	XP_055879930.1
LOC106050329	XP_055879931.1
LOC106050329	XP_055879932.1
LOC106050329	XP_055879933.1
LOC106050332	XP_055894729.1
LOC106050332	XP_055894738.1
LOC106050332	XP_055894746.1
LOC106050332	XP_055894754.1
LOC106050332	XP_055894762.1
LOC106050333	XP_013060744.2
LOC106050334	XP_055866373.1
LOC106050337	XP_055877216.1
LOC106050338	XP_055884014.1
LOC106050350	XP_055892653.1
LOC106050350	XP_055892654.1
LOC106050350	XP_055892655.1
LOC106050352	XP_055874704.1
LOC106050354	XP_055874217.1
LOC106050354	XP_055874218.1
LOC106050354	XP_055874219.1
LOC106050355	XP_055869156.1
LOC106050356	XP_055901330.1
LOC106050356	XP_055901331.1
LOC106050357	XP_055870877.1
LOC106050360	XP_055885150.1
LOC106050361	XP_055891432.1
LOC106050361	XP_055891433.1
LOC106050361	XP_055891434.1
LOC106050361	XP_055891436.1
LOC106050361	XP_055891437.1
LOC106050363	XP_055895166.1
LOC106050365	XP_055886556.1
LOC106050365	XP_055886557.1
LOC106050367	XP_013060775.1
LOC106050367	XP_013060776.1
LOC106050367	XP_013060777.1
LOC106050367	XP_013060778.1
LOC106050367	XP_055899779.1
LOC106050367	XP_055899780.1
LOC106050370	XP_055864979.1
LOC106050370	XP_055864980.1
LOC106050370	XP_055864981.1
LOC106050370	XP_055864982.1
LOC106050370	XP_055864983.1
LOC106050370	XP_055864984.1
LOC106050371	XP_013060780.2
LOC106050371	XP_013060781.2
LOC106050371	XP_055864363.1
LOC106050372	XP_055874768.1
LOC106050372	XP_055874769.1
LOC106050372	XP_055874770.1
LOC106050373	XP_055874776.1
LOC106050374	XP_055870956.1
LOC106050374	XP_055870957.1
LOC106050374	XP_055870958.1
LOC106050374	XP_055870959.1
LOC106050374	XP_055870960.1
LOC106050374	XP_055870961.1
LOC106050374	XP_055870962.1
LOC106050375	XP_055870460.1
LOC106050376	XP_055870461.1
LOC106050378	XP_013060790.2
LOC106050379	XP_013060791.2
LOC106050380	XP_013060792.1
LOC106050385	XP_013060797.1
LOC106050387	XP_055860892.1
LOC106050387	XP_055860893.1
LOC106050387	XP_055860894.1
LOC106050390	XP_013060802.2
LOC106050390	XP_013060803.2
LOC106050392	XP_013060805.2
LOC106050393	XP_013060806.2
LOC106050394	XP_055877072.1
LOC106050396	XP_013060807.2
LOC106050396	XP_013060808.2
LOC106050397	XP_055896364.1
LOC106050397	XP_055896399.1
LOC106050397	XP_055896405.1
LOC106050397	XP_055896411.1
LOC106050397	XP_055896412.1
LOC106050397	XP_055896419.1
LOC106050398	XP_013060813.1
LOC106050398	XP_013060814.1
LOC106050398	XP_013060815.1
LOC106050400	XP_013060816.1
LOC106050400	XP_013060817.1
LOC106050400	XP_055896533.1
LOC106050400	XP_055896539.1
LOC106050400	XP_055896553.1
LOC106050401	XP_055889744.1
LOC106050402	XP_055863597.1
LOC106050402	XP_055863606.1
LOC106050403	XP_055895112.1
LOC106050404	XP_055895416.1
LOC106050404	XP_055895417.1
LOC106050405	XP_055865418.1
LOC106050405	XP_055865419.1
LOC106050406	XP_055891976.1
LOC106050406	XP_055891977.1
LOC106050406	XP_055891978.1
LOC106050407	XP_055892726.1
LOC106050410	XP_055893709.1
LOC106050410	XP_055893710.1
LOC106050416	XP_055871308.1
LOC106050417	XP_055886853.1
LOC106050417	XP_055886854.1
LOC106050417	XP_055886855.1
LOC106050417	XP_055886856.1
LOC106050418	XP_055882083.1
LOC106050419	XP_013060835.2
LOC106050420	XP_055872483.1
LOC106050421	XP_055872255.1
LOC106050422	XP_013060837.2
LOC106050423	XP_013060838.2
LOC106050423	XP_055898719.1
LOC106050423	XP_055898720.1
LOC106050423	XP_055898721.1
LOC106050427	XP_055897041.1
LOC106050428	XP_055887000.1
LOC106050428	XP_055887001.1
LOC106050428	XP_055887002.1
LOC106050428	XP_055887003.1
LOC106050428	XP_055887004.1
LOC106050430	XP_055887029.1
LOC106050430	XP_055887030.1
LOC106050430	XP_055887031.1
LOC106050430	XP_055887032.1
LOC106050431	XP_055897997.1
LOC106050434	XP_055896497.1
LOC106050436	XP_055895831.1
LOC106050440	XP_055886755.1
LOC106050440	XP_055886757.1
LOC106050441	XP_013060859.2
LOC106050444	XP_055886857.1
LOC106050445	XP_013060861.2
LOC106050445	XP_013060862.2
LOC106050446	XP_055896491.1
LOC106050447	XP_013060865.2
LOC106050447	XP_055896493.1
LOC106050447	XP_055896494.1
LOC106050448	XP_013060866.2
LOC106050448	XP_013060867.2
LOC106050449	XP_013060868.2
LOC106050449	XP_013060869.2
LOC106050450	XP_013060872.2
LOC106050450	XP_013060873.2
LOC106050450	XP_013060874.2
LOC106050450	XP_013060875.2
LOC106050450	XP_055897957.1
LOC106050450	XP_055897958.1
LOC106050450	XP_055897959.1
LOC106050450	XP_055897960.1
LOC106050451	XP_055893102.1
LOC106050451	XP_055893103.1
LOC106050451	XP_055893105.1
LOC106050452	XP_055898400.1
LOC106050453	XP_013060880.2
LOC106050455	XP_013060882.2
LOC106050457	XP_013060883.2
LOC106050460	XP_013060885.2
LOC106050460	XP_013060886.2
LOC106050460	XP_055896495.1
LOC106050460	XP_055896496.1
LOC106050461	XP_055897998.1
LOC106050462	XP_013060888.2
LOC106050463	XP_013060881.2
LOC106050463	XP_013060889.2
LOC106050463	XP_055896490.1
LOC106050464	XP_055898049.1
LOC106050464	XP_055898050.1
LOC106050464	XP_055898051.1
LOC106050466	XP_013060891.2
LOC106050466	XP_055896499.1
LOC106050468	XP_013060893.1
LOC106050469	XP_013060894.2
LOC106050470	XP_055861353.1
LOC106050471	XP_055862639.1
LOC106050471	XP_055862640.1
LOC106050472	XP_013060897.2
LOC106050474	XP_013060898.2
LOC106050476	XP_013060900.2
LOC106050477	XP_055862015.1
LOC106050477	XP_055862016.1
LOC106050477	XP_055862017.1
LOC106050477	XP_055862018.1
LOC106050479	XP_055883491.1
LOC106050480	XP_055893099.1
LOC106050480	XP_055893100.1
LOC106050480	XP_055893101.1
LOC106050482	XP_055874421.1
LOC106050487	XP_055871895.1
LOC106050487	XP_055871896.1
LOC106050491	XP_055873859.1
LOC106050491	XP_055873860.1
LOC106050492	XP_055873587.1
LOC106050493	XP_055862816.1
LOC106050496	XP_055881769.1
LOC106050496	XP_055881770.1
LOC106050496	XP_055881771.1
LOC106050497	XP_013060919.2
LOC106050497	XP_055881774.1
LOC106050499	XP_055876247.1
LOC106050499	XP_055876248.1
LOC106050499	XP_055876249.1
LOC106050499	XP_055876250.1
LOC106050502	NP_001298225.1
LOC106050505	XP_013060926.2
LOC106050505	XP_013060927.2
LOC106050505	XP_013060932.2
LOC106050505	XP_055876680.1
LOC106050505	XP_055876681.1
LOC106050505	XP_055876682.1
LOC106050505	XP_055876683.1
LOC106050505	XP_055876684.1
LOC106050505	XP_055876685.1
LOC106050505	XP_055876686.1
LOC106050505	XP_055876688.1
LOC106050505	XP_055876689.1
LOC106050505	XP_055876690.1
LOC106050505	XP_055876691.1
LOC106050506	XP_055876692.1
LOC106050506	XP_055876693.1
LOC106050507	XP_055872895.1
LOC106050507	XP_055872896.1
LOC106050507	XP_055872897.1
LOC106050507	XP_055872898.1
LOC106050507	XP_055872899.1
LOC106050507	XP_055872900.1
LOC106050507	XP_055872901.1
LOC106050507	XP_055872902.1
LOC106050507	XP_055872903.1
LOC106050507	XP_055872904.1
LOC106050508	XP_055884630.1
LOC106050512	XP_055889883.1
LOC106050512	XP_055889884.1
LOC106050513	XP_055890791.1
LOC106050513	XP_055890793.1
LOC106050513	XP_055890794.1
LOC106050513	XP_055890795.1
LOC106050513	XP_055890796.1
LOC106050513	XP_055890797.1
LOC106050513	XP_055890798.1
LOC106050514	XP_055880628.1
LOC106050515	XP_055889171.1
LOC106050516	XP_013060941.2
LOC106050517	XP_055860398.1
LOC106050519	XP_055860401.1
LOC106050524	XP_013060949.2
LOC106050524	XP_055859564.1
LOC106050524	XP_055859565.1
LOC106050524	XP_055859566.1
LOC106050524	XP_055859567.1
LOC106050524	XP_055859568.1
LOC106050524	XP_055859569.1
LOC106050524	XP_055859570.1
LOC106050525	XP_013060955.2
LOC106050525	XP_055860037.1
LOC106050525	XP_055860038.1
LOC106050525	XP_055860039.1
LOC106050525	XP_055860040.1
LOC106050526	XP_055859867.1
LOC106050527	XP_055901556.1
LOC106050532	XP_055860966.1
LOC106050533	XP_055898466.1
LOC106050533	XP_055898467.1
LOC106050534	XP_055892291.1
LOC106050535	XP_055869799.1
LOC106050536	XP_055874695.1
LOC106050538	XP_055864358.1
LOC106050539	XP_055863369.1
LOC106050539	XP_055863370.1
LOC106050539	XP_055863371.1
LOC106050542	XP_013060972.2
LOC106050543	XP_055860830.1
LOC106050545	XP_055900619.1
LOC106050545	XP_055900620.1
LOC106050548	XP_055895582.1
LOC106050548	XP_055895583.1
LOC106050551	XP_055898768.1
LOC106050552	XP_055875256.1
LOC106050552	XP_055875257.1
LOC106050553	XP_055866732.1
LOC106050554	XP_055894137.1
LOC106050554	XP_055894138.1
LOC106050554	XP_055894139.1
LOC106050554	XP_055894140.1
LOC106050554	XP_055894141.1
LOC106050557	XP_013060986.2
LOC106050558	XP_013060984.1
LOC106050560	XP_055866677.1
LOC106050560	XP_055866678.1
LOC106050560	XP_055866679.1
LOC106050561	XP_055867602.1
LOC106050562	XP_013060988.2
LOC106050562	XP_013060989.2
LOC106050562	XP_013060990.2
LOC106050562	XP_013060991.2
LOC106050562	XP_055866020.1
LOC106050562	XP_055866021.1
LOC106050562	XP_055866022.1
LOC106050562	XP_055866023.1
LOC106050563	XP_013060992.1
LOC106050564	XP_055873621.1
LOC106050565	XP_055896574.1
LOC106050566	XP_055873406.1
LOC106050568	XP_013060997.2
LOC106050568	XP_013061000.2
LOC106050568	XP_013061003.2
LOC106050568	XP_055871869.1
LOC106050569	XP_055871607.1
LOC106050569	XP_055871608.1
LOC106050569	XP_055871609.1
LOC106050569	XP_055871610.1
LOC106050569	XP_055871611.1
LOC106050571	XP_055884702.1
LOC106050575	XP_055874582.1
LOC106050575	XP_055874588.1
LOC106050575	XP_055874593.1
LOC106050576	XP_055884520.1
LOC106050577	XP_013061011.2
LOC106050577	XP_013061012.2
LOC106050577	XP_055889775.1
LOC106050577	XP_055889776.1
LOC106050578	XP_055889763.1
LOC106050578	XP_055889764.1
LOC106050578	XP_055889765.1
LOC106050581	XP_013061018.2
LOC106050581	XP_013061039.2
LOC106050581	XP_055873244.1
LOC106050582	XP_013061015.2
LOC106050583	XP_013061016.2
LOC106050583	XP_055888540.1
LOC106050584	XP_013061017.2
LOC106050584	XP_013061020.2
LOC106050584	XP_013061022.2
LOC106050584	XP_013061024.2
LOC106050584	XP_013061025.2
LOC106050584	XP_013061026.2
LOC106050584	XP_013061027.2
LOC106050584	XP_055890146.1
LOC106050584	XP_055890148.1
LOC106050584	XP_055890149.1
LOC106050584	XP_055890150.1
LOC106050584	XP_055890151.1
LOC106050585	XP_013061029.2
LOC106050585	XP_013061030.2
LOC106050585	XP_013061031.2
LOC106050585	XP_013061032.2
LOC106050585	XP_013061033.2
LOC106050585	XP_013061035.1
LOC106050585	XP_013061036.1
LOC106050585	XP_013061038.1
LOC106050585	XP_055889766.1
LOC106050586	XP_055889193.1
LOC106050586	XP_055889194.1
LOC106050586	XP_055889195.1
LOC106050586	XP_055889196.1
LOC106050587	XP_055889499.1
LOC106050587	XP_055889500.1
LOC106050587	XP_055889501.1
LOC106050588	XP_055889142.1
LOC106050588	XP_055889143.1
LOC106050588	XP_055889144.1
LOC106050589	XP_013061045.2
LOC106050590	XP_013061046.2
LOC106050590	XP_013061047.2
LOC106050590	XP_055887418.1
LOC106050590	XP_055887419.1
LOC106050590	XP_055887420.1
LOC106050590	XP_055887421.1
LOC106050591	XP_013061052.2
LOC106050591	XP_013061053.2
LOC106050591	XP_055890153.1
LOC106050591	XP_055890154.1
LOC106050591	XP_055890155.1
LOC106050592	XP_013061054.2
LOC106050592	XP_013061055.2
LOC106050592	XP_013061056.2
LOC106050592	XP_013061057.2
LOC106050593	XP_013061059.2
LOC106050594	XP_013061060.1
LOC106050594	XP_013061061.1
LOC106050594	XP_013061062.1
LOC106050594	XP_013061063.1
LOC106050597	XP_013061066.2
LOC106050598	XP_013061067.2
LOC106050598	XP_013061069.2
LOC106050599	XP_013061071.2
LOC106050599	XP_013061073.2
LOC106050602	XP_055871046.1
LOC106050602	XP_055871048.1
LOC106050604	XP_013061077.2
LOC106050604	XP_013061078.2
LOC106050604	XP_055880382.1
LOC106050605	XP_055891690.1
LOC106050605	XP_055891691.1
LOC106050605	XP_055891692.1
LOC106050605	XP_055891693.1
LOC106050605	XP_055891694.1
LOC106050606	XP_055862622.1
LOC106050606	XP_055862628.1
LOC106050606	XP_055862632.1
LOC106050606	XP_055862638.1
LOC106050607	XP_013061082.2
LOC106050607	XP_013061083.2
LOC106050607	XP_055862647.1
LOC106050607	XP_055862670.1
LOC106050609	XP_055882974.1
LOC106050613	XP_055869982.1
LOC106050613	XP_055869983.1
LOC106050613	XP_055869984.1
LOC106050614	XP_055875328.1
LOC106050614	XP_055875329.1
LOC106050615	XP_055875326.1
LOC106050620	XP_055889428.1
LOC106050621	XP_055887590.1
LOC106050622	XP_055889426.1
LOC106050622	XP_055889427.1
LOC106050623	NP_001298198.1
LOC106050623	XP_013061136.2
LOC106050623	XP_013061203.2
LOC106050624	XP_055873175.1
LOC106050624	XP_055873176.1
LOC106050624	XP_055873177.1
LOC106050624	XP_055873178.1
LOC106050625	XP_055890085.1
LOC106050626	XP_055901318.1
LOC106050626	XP_055901319.1
LOC106050626	XP_055901320.1
LOC106050626	XP_055901321.1
LOC106050626	XP_055901322.1
LOC106050626	XP_055901323.1
LOC106050626	XP_055901324.1
LOC106050628	XP_055891652.1
LOC106050629	XP_055866962.1
LOC106050629	XP_055866963.1
LOC106050629	XP_055866964.1
LOC106050629	XP_055866965.1
LOC106050630	XP_055883407.1
LOC106050630	XP_055883408.1
LOC106050630	XP_055883409.1
LOC106050630	XP_055883410.1
LOC106050630	XP_055883411.1
LOC106050632	XP_013061107.2
LOC106050632	XP_013061108.2
LOC106050635	XP_055893109.1
LOC106050635	XP_055893110.1
LOC106050635	XP_055893111.1
LOC106050635	XP_055893112.1
LOC106050635	XP_055893113.1
LOC106050635	XP_055893114.1
LOC106050635	XP_055893115.1
LOC106050635	XP_055893117.1
LOC106050635	XP_055893118.1
LOC106050635	XP_055893119.1
LOC106050635	XP_055893120.1
LOC106050636	XP_055899515.1
LOC106050637	XP_055882244.1
LOC106050637	XP_055882245.1
LOC106050637	XP_055882246.1
LOC106050637	XP_055882247.1
LOC106050637	XP_055882248.1
LOC106050638	XP_055866260.1
LOC106050639	XP_055873625.1
LOC106050641	XP_013061118.2
LOC106050642	XP_013061119.1
LOC106050643	XP_013061121.2
LOC106050643	XP_013061122.2
LOC106050643	XP_013061123.2
LOC106050643	XP_013061124.2
LOC106050643	XP_013061125.1
LOC106050644	XP_013061126.1
LOC106050646	XP_055878022.1
LOC106050646	XP_055878023.1
LOC106050647	XP_055874629.1
LOC106050647	XP_055874630.1
LOC106050647	XP_055874631.1
LOC106050652	XP_055893383.1
LOC106050653	XP_013061135.2
LOC106050654	XP_055895296.1
LOC106050655	XP_055867856.1
LOC106050655	XP_055867857.1
LOC106050655	XP_055867858.1
LOC106050655	XP_055867859.1
LOC106050656	XP_055867860.1
LOC106050656	XP_055867861.1
LOC106050656	XP_055867863.1
LOC106050656	XP_055867864.1
LOC106050656	XP_055867865.1
LOC106050656	XP_055867866.1
LOC106050656	XP_055867867.1
LOC106050656	XP_055867869.1
LOC106050656	XP_055867870.1
LOC106050656	XP_055867871.1
LOC106050657	XP_055894030.1
LOC106050657	XP_055894097.1
LOC106050657	XP_055894155.1
LOC106050659	XP_055867754.1
LOC106050660	XP_055868044.1
LOC106050661	XP_055867872.1
LOC106050663	XP_013061146.2
LOC106050666	XP_055867756.1
LOC106050668	XP_055867755.1
LOC106050670	XP_013061148.2
LOC106050670	XP_013061149.2
LOC106050670	XP_055868906.1
LOC106050671	XP_055891203.1
LOC106050672	XP_055891201.1
LOC106050674	XP_055878649.1
LOC106050675	XP_055878756.1
LOC106050675	XP_055878757.1
LOC106050679	XP_013061160.1
LOC106050679	XP_013061166.1
LOC106050679	XP_013061174.1
LOC106050679	XP_055897838.1
LOC106050679	XP_055898029.1
LOC106050680	XP_013061158.2
LOC106050680	XP_013061159.2
LOC106050683	XP_055897883.1
LOC106050683	XP_055897884.1
LOC106050683	XP_055897885.1
LOC106050683	XP_055897887.1
LOC106050683	XP_055897888.1
LOC106050684	XP_013061162.2
LOC106050684	XP_055897779.1
LOC106050685	XP_055898500.1
LOC106050686	XP_013061163.1
LOC106050686	XP_055895764.1
LOC106050687	XP_055870691.1
LOC106050688	XP_055882566.1
LOC106050690	XP_055873117.1
LOC106050690	XP_055873119.1
LOC106050695	XP_055866317.1
LOC106050695	XP_055866318.1
LOC106050697	XP_013061176.2
LOC106050700	XP_055867211.1
LOC106050700	XP_055867212.1
LOC106050700	XP_055867213.1
LOC106050700	XP_055867214.1
LOC106050701	XP_055866201.1
LOC106050702	XP_055866197.1
LOC106050703	XP_013061178.2
LOC106050703	XP_013061179.2
LOC106050703	XP_013061181.2
LOC106050703	XP_013061182.2
LOC106050703	XP_013061183.2
LOC106050703	XP_055866306.1
LOC106050703	XP_055866307.1
LOC106050703	XP_055866308.1
LOC106050703	XP_055866309.1
LOC106050703	XP_055866311.1
LOC106050703	XP_055866312.1
LOC106050703	XP_055866313.1
LOC106050703	XP_055866314.1
LOC106050703	XP_055866315.1
LOC106050703	XP_055866316.1
LOC106050704	XP_055897496.1
LOC106050704	XP_055897565.1
LOC106050706	XP_013061175.2
LOC106050708	XP_055892245.1
LOC106050708	XP_055892246.1
LOC106050708	XP_055892247.1
LOC106050709	XP_055890781.1
LOC106050709	XP_055890782.1
LOC106050709	XP_055890783.1
LOC106050709	XP_055890784.1
LOC106050709	XP_055890785.1
LOC106050709	XP_055890786.1
